ROUTE,YEAR,MONTH,DAY_TYPE,AVG_RIDES
4,2024,10,Weekday,11958
4,2024,10,Saturday,11416
4,2024,10,Sunday - Holiday,7850
43,2024,10,Weekday,938
43,2024,10,Saturday,434
43,2024,10,Sunday - Holiday,316
44,2024,10,Weekday,2826
44,2024,10,Saturday,1245
44,2024,10,Sunday - Holiday,1043
47,2024,10,Weekday,8088
47,2024,10,Saturday,5805
47,2024,10,Sunday - Holiday,4080
48,2024,10,Weekday,897
49,2024,10,Weekday,13207
49,2024,10,Saturday,12619
49,2024,10,Sunday - Holiday,9382
49B,2024,10,Weekday,4497
49B,2024,10,Saturday,3221
49B,2024,10,Sunday - Holiday,2786
5,2024,10,Weekday,152
5,2024,10,Saturday,164
5,2024,10,Sunday - Holiday,195
50,2024,10,Weekday,9194
50,2024,10,Saturday,5538
50,2024,10,Sunday - Holiday,3827
51,2024,10,Weekday,1148
51,2024,10,Saturday,739
51,2024,10,Sunday - Holiday,533
52,2024,10,Weekday,7135
52,2024,10,Saturday,4787
52,2024,10,Sunday - Holiday,3246
52A,2024,10,Weekday,3274
52A,2024,10,Saturday,1815
52A,2024,10,Sunday - Holiday,1330
53,2024,10,Weekday,15394
53,2024,10,Saturday,10347
53,2024,10,Sunday - Holiday,7551
53A,2024,10,Weekday,6435
53A,2024,10,Saturday,3126
53A,2024,10,Sunday - Holiday,2113
54,2024,10,Weekday,8267
54,2024,10,Saturday,6140
54,2024,10,Sunday - Holiday,5256
54A,2024,10,Weekday,589
54B,2024,10,Weekday,2143
54B,2024,10,Saturday,2065
54B,2024,10,Sunday - Holiday,1467
55,2024,10,Weekday,7786
55,2024,10,Saturday,5752
55,2024,10,Sunday - Holiday,4883
55A,2024,10,Weekday,165
55N,2024,10,Weekday,453
55N,2024,10,Saturday,241
56,2024,10,Weekday,5387
56,2024,10,Saturday,3876
56,2024,10,Sunday - Holiday,3115
57,2024,10,Weekday,1599
57,2024,10,Saturday,752
57,2024,10,Sunday - Holiday,440
59,2024,10,Weekday,2789
59,2024,10,Saturday,1534
6,2024,10,Weekday,5950
6,2024,10,Saturday,6289
6,2024,10,Sunday - Holiday,5343
60,2024,10,Weekday,11094
60,2024,10,Saturday,5994
60,2024,10,Sunday - Holiday,4077
62,2024,10,Weekday,8250
62,2024,10,Saturday,5909
62,2024,10,Sunday - Holiday,4235
62H,2024,10,Weekday,775
62H,2024,10,Saturday,454
63,2024,10,Weekday,11645
63,2024,10,Saturday,7945
63,2024,10,Sunday - Holiday,6512
63W,2024,10,Weekday,1382
63W,2024,10,Saturday,668
63W,2024,10,Sunday - Holiday,451
65,2024,10,Weekday,6837
65,2024,10,Saturday,5112
65,2024,10,Sunday - Holiday,3545
66,2024,10,Weekday,18341
66,2024,10,Saturday,14148
66,2024,10,Sunday - Holiday,10399
67,2024,10,Weekday,6580
67,2024,10,Saturday,5032
67,2024,10,Sunday - Holiday,3652
68,2024,10,Weekday,1004
68,2024,10,Saturday,454
68,2024,10,Sunday - Holiday,315
7,2024,10,Weekday,5156
70,2024,10,Weekday,7368
70,2024,10,Saturday,4754
70,2024,10,Sunday - Holiday,3816
71,2024,10,Weekday,7628
71,2024,10,Saturday,5223
71,2024,10,Sunday - Holiday,3804
72,2024,10,Weekday,11392
72,2024,10,Saturday,9373
72,2024,10,Sunday - Holiday,7054
73,2024,10,Weekday,4493
73,2024,10,Saturday,2802
73,2024,10,Sunday - Holiday,1969
74,2024,10,Weekday,10040
